code	fre
tp.yes	Oui
tp.turnout	Participation
tp.accepted	accepté
tp.refused	rejeté
title.initiative	Initiatives populaires
title.mandatoryReferendum	Référendums obligatoires
title.facultativeReferendum	Référendums facultatifs
descr1.initiative	Toutes les initiatives populaires soumises au vote national en Suisse (
descr2.initiative	). Le % de oui pour chaque initiative populaire est coloré en rouge (moins de 50%) ou bleu (plus de 50% de oui). 
descr1.mandatoryReferendum	Tous les référendums obligatoires soumis au vote national en Suisse (
descr2.mandatoryReferendum	). Le % de oui pour chaque référendum obligatoire est coloré en rouge (moins de 50%) ou bleu (plus de 50% de oui). 
descr1.facultativeReferendum	Tous les référendums obligatoires soumis au vote national en Suisse (
descr2.facultativeReferendum	). Le % de oui pour chaque référendum obligatoire est coloré en rouge (moins de 50%) ou bleu (plus de 50% de oui).
subtitle1	Sélectionner une région du graphique ou pincer pour zoomer.
subtitle2	Déplacer votre curseur sur un carré pour en savoir plus sur un vote.
source	source: C2D.ch
