Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
1,Country,Switzerland,590,2015-03-08,Citizens' initiative of 5 November 2012 «Strength families! For tax free children and education supplements»,Volksinitiative vom 5. November 2012 «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,Initiative populaire du 5 Novembre 2012 «Aider les familles! Pour des allocations pour enfant et des allocation de formation professionnelle exonérées de l'impot»,,35,159,4,13,32,0,Rejection,Not known,Not known,2187902,Not known,Not known,537715,1650187,0,23,none,,,,,,Initiative (Formulated Draft),,,                CVP             ,                            ,Direct taxation | Family policy | Welfare,0,2187902,24.58,75.42,no,
2,Country,Switzerland,591,2015-03-08,Citizens' initiative of 17 December 2012 «To replace of value added taxes by taxes on energy»,Volksinitiative vom 12 Dezember 2012 «Energie- statt Mehrwertsteuer»,Initiative populaire du 17 Décembre «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'energie»,,27,171,0,3,40,2,Rejection,5247489,Not known,2185812,Not known,Not known,175769,2010043,0,23,none,,,,,,Initiative (Formulated Draft),,,GLP ,,Taxation | Indirect taxation | Energy policy,41.65,2185812,8.04,91.96,no,
3,Country,Switzerland,587,2014-11-30,Citizens' initiative of 19.10.2012 «to end tax breaks for wealthy foreigners» (Abolition of lump sum taxation),Volksinitiative vom 19.10.2012 «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschaulbesteuerung),Initiative populaire du 19.10.2012 «Halte aux privilèges fiscaux des millionnaires (abolition des forfaits fiscaux»,,62,135,1,13,30,2,Rejection,5247489,142651,2618768,29634,7895,1053125,1528114,1,22,none,,,,,,Initiative (Formulated Draft),,,Alternative Liste  www.pauschalsteuer-abschaffen.ch            ,                            ,Public finance | Tax policy | Financial system,49.91,2581239,40.8,59.2,no,
4,Country,Switzerland,588,2014-11-30,Citizens' initiative of 02.11.2012 «Halt overpopulation - Preserve the natural environment» (Ecopop),Volksinitiative vom 02.11.2012 «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),Initiative populaire du 02.11.2012 «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles» (Ecopop),,3,190,5,1,44,0,Rejection,5247489,142651,2622700,23261,7886,671099,1920454,0,23,none,,,,,,Initiative (Formulated Draft),,,                Verein Ecopop  www.ecopop-ja.ch            ,                            ,Environment and living space | Immigration policy | Development cooperation,49.98,2591553,25.9,74.1,no,
5,Country,Switzerland,589,2014-11-30,Citizens' initiative of 30.03.2013 «Save our Swiss Gold» (Restrictions for central bank gold reserves),Volksinitiative vom 20.03.2013 «Rettet unser Schweizer Gold (Gold-Initiative),Initiative populaire du 20.03.2013 «Sauvez l'or de la Suisse (Initiative sur l'or)» ,,22,156,20,2,43,0,Rejection,5247489,142651,2613900,50830,8405,580528,1974137,0,23,none,,,,,,Initiative (Formulated Draft),,,                Hinter dem Anliegen stehen einzelne Personen aus dem Umfeld SVP und der Aktion für eine unabhängige und neutrale Schweiz (Auns). Die SVP Schweiz ist gegen die Vorlage!            ,                            ,Economy | National bank | Monetary policy,49.81,2554665,22.72,77.28,no,
6,Country,Switzerland,585,2014-09-28,Citizens' initiative of 21.09.2011 «Stopping with the disrimination of value added tax (VAT) for the gastronomy»,Volksinitiative vom 21.09.2011 «Schluss mit der MwSt-Diskriminierung des Gastgewerbers!»,Initiative populaire du 21.09.2011 «Stop à la TVA discriminatoire pour la restauration!»,,82,99,14,13,22,7,Rejection,5240533,141831,2460809,49610,7809,684563,1718827,0,23,none,,,,,,Initiative (Formulated Draft),,,Branchenverband Gastrosuisse,,Economy | Hospitality | Indirect taxation,46.96,2403390,28.48,71.52,no,
7,Country,Switzerland,586,2014-09-28,Citizens' initiative of 23.05.2012 «For a public health insurance»,Volksinitiative vom 23.05.2012 «Für eine öffentliche Krankenkasse»,Initiative populaire du 23.05.2012 «Pour une caisse publique d'assurance-maladie»,,62,132,2,12,27,3,Rejection,5240533,141831,2472295,20087,7160,933012,1512036,4,19,none,,,,,,Initiative (Formulated Draft),,,Das Initiativkomittee besteht aus über zwanzig Patienten-Organisationen  Parteien   Berufsfach- und Branchenverbände sowie Gesundheitsorganisationen und  Gewerkschaften.,,Social Policy | Social security | Health and accident insurance,47.18,2445048,38.16,61.84,no,
8,Country,Switzerland,582,2014-05-18,Citizens' initiatve «Paedophiles should not work with children»,Volksinitiative vom 20.04.2011 «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,Initiative populaire du 20.04.2011 «Pour que les pédophiles ne travaillent plus avec des enfants»,,97,91,,15,23,,Rejection,5221519,138548,2933259,59214,Not known,1819822,1044704,23,0,none,,,,,,Initiative (Formulated Draft),,,Eine Initiative der mittlerweile aufgelösten Organisation Marche Blance  www.kinder-schuetzen.ch,Das Parlament hat keine Abstimmungsempfehlung beschlossen  weil der Nationalrat sich für die Initiative und der Ständerat gegen die Initiative aussprachen.,Legal system | Criminal law | Children and young people,56.18,2864526,63.53,36.47,yes,
9,Country,Switzerland,583,2014-05-18,Citizens' initiative «For the protection of fair wages (minimum salery initiative),Volksinitiative vom 23.01.2012 «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,Initiative populaire du 23.01.2012 «Pour la protection de salaires équitables (Initiative sur les salaires minimums»),,56,137,2,12,29,0,Rejection,5221519,138548,2942915,36192,8960,687571,2210192,0,23,none,,,,,,Initiative (Formulated Draft),,,Gewerkschaften  www.mindestlohn-initiative.ch,,Economy | Employment | Employment conditions,56.36,2897763,23.73,76.27,no,
10,Country,Switzerland,579,2014-02-09,Citizens' initiative «The abortion financing is a private matter - discharge of the health insurance by cancellation of the costs of termination of pregnancy from the compulsory basic health insurance»,Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,Initiative populairce «Financer l'avortement est une affaire privée»,,33,155,7,5,37,0,Rejection,5211426,137480,2940167,38655,8903,873060,2019549,0.5,22.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative stammt aus religiös-konservativen Kreisen  www.privatsache.ch,,Social Policy | Health policy | Health and accident insurance,56.42,2892609,30.18,69.82,no,
