code	eng	fre
tp.percyes	% Yes	% Oui
tp.turnout	Turnout	Participation
tp.yes	yes	oui
tp.no	no	non
tp.yesminusno	difference yes-no	différence oui-non
tp.accepted	Accepted	accepté
tp.refused	Rejected	rejeté
title.initiative	People's initiatives	Initiatives populaires
title.mandatoryReferendum	Mandatory referendums	Référendums obligatoires
title.facultativeReferendum	Optional referendums	Référendums facultatifs
source1	source:	source:
source2	c2d.ch	c2d.ch
sourceLink	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing	https://docs.google.com/spreadsheets/d/1c4XQLIP9FiKWAPkKZ6IGq5LDStQXymAd7t6_GpqvoMo/edit?usp=sharing
