Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
1,Country,Switzerland,590,08/03/2015,"""Boost families! Tax free child and education benefits""",Volksinitiative vom 5. November 2012 «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,Initiative populaire «Aider les familles! Pour des allocations pour enfant et des allocation de formation professionnelle exonérées de l'impot»,Iniziativa popolare del 05.11.2012 «Sostenere le famiglie! Esentare dalle imposte gli assegni per i figli e gli assegni di formazione»,,,,,,35,159,4,13,32,0,Rejection,Not known,Not known,2187902,Not known,Not known,537715,1650187,0,23,none,,,,,,Initiative (Formulated Draft),,,CVP,,Direct taxation | Family policy | Welfare,0,2187902,24.58,75.42,no,
2,Country,Switzerland,591,08/03/2015,"""To replace of value added taxes by taxes on energy""",Volksinitiative vom 12 Dezember 2012 «Energie- statt Mehrwertsteuer»,Initiative populaire du 17 Décembre «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'energie»,Iniziativa popolare del 17.12.2012 «Imposta sull'energia invece dell'IVA»,,,,,,27,171,0,3,40,2,Rejection,5247489,Not known,2185812,Not known,Not known,175769,2010043,0,23,none,,,,,,Initiative (Formulated Draft),,,GLP,,Taxation | Indirect taxation | Energy policy,41.65,2185812,8.04,91.96,no,
3,Country,Switzerland,587,30/11/2014,"""End tax breaks for wealthy foreigners (Abolition of lump sum taxation)""",Volksinitiative vom 19.10.2012 «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschaulbesteuerung),Initiative populaire «Halte aux privilèges fiscaux des millionnaires» (abolition des forfaits fiscaux),Iniziativa popolare del 19.10.2012 «Basta ai privilegi fiscali dei milionari (Abolizione dell'imposizione forfettaria»,,,,,,62,135,1,13,30,2,Rejection,5247489,142651,2618768,29634,7895,1053125,1528114,1,22,none,,,,,,Initiative (Formulated Draft),,,Alternative Liste  www.pauschalsteuer-abschaffen.ch,,Public finance | Tax policy | Financial system,49.91,2581239,40.8,59.2,no,
4,Country,Switzerland,588,30/11/2014,"""Halt overpopulation - Preserve the natural environment (Ecopop)""",Volksinitiative vom 02.11.2012 «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),Initiative populaire «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles» (Ecopop),Iniziativa popolare del 02.11.2012 «Stop alla sovrappopolazione – sì alla conservazione delle basi naturali della vita»,,,,,,3,190,5,1,44,0,Rejection,5247489,142651,2622700,23261,7886,671099,1920454,0,23,none,,,,,,Initiative (Formulated Draft),,,Verein Ecopop  www.ecopop-ja.ch,,Environment and living space | Immigration policy | Development cooperation,49.98,2591553,25.9,74.1,no,
5,Country,Switzerland,589,30/11/2014,"""Save our Swiss Gold (Restrictions for central bank gold reserves)""",Volksinitiative vom 20.03.2013 «Rettet unser Schweizer Gold (Gold-Initiative),Initiative populaire «Sauvez l'or de la Suisse» (Initiative sur l'or)»,Iniziativa popolare del 20.03.2013 «Salvate l'oro della Svizzera (Iniziativa sull'oro)»,,,,,,22,156,20,2,43,0,Rejection,5247489,142651,2613900,50830,8405,580528,1974137,0,23,none,,,,,,Initiative (Formulated Draft),,,Hinter dem Anliegen stehen einzelne Personen aus dem Umfeld SVP und der Aktion für eine unabhängige und neutrale Schweiz (Auns). Die SVP Schweiz ist gegen die Vorlage!,,Economy | National bank | Monetary policy,49.81,2554665,22.72,77.28,no,
6,Country,Switzerland,585,28/09/2014,"""Stop the disrimination of VAT for the restaurants and hotels""",Volksinitiative vom 21.09.2011 «Schluss mit der MwSt-Diskriminierung des Gastgewerbers!»,Initiative populaire «Stop à la TVA discriminatoire pour la restauration!»,Iniziativa popolare del 21.09.2011 «Basta con l’IVA discriminatoria per la ristorazione!»,,,,,,82,99,14,13,22,7,Rejection,5240533,141831,2460809,49610,7809,684563,1718827,0,23,none,,,,,,Initiative (Formulated Draft),,,Branchenverband Gastrosuisse,,Economy | Hospitality | Indirect taxation,46.96,2403390,28.48,71.52,no,
7,Country,Switzerland,586,28/09/2014,"""For a public health insurance""",Volksinitiative vom 23.05.2012 «Für eine öffentliche Krankenkasse»,Initiative populaire «Pour une caisse publique d'assurance-maladie»,Iniziativa popolare del 23.05.2012 «Per una cassa malati pubblica»,,,,,,62,132,2,12,27,3,Rejection,5240533,141831,2472295,20087,7160,933012,1512036,4,19,none,,,,,,Initiative (Formulated Draft),,,Das Initiativkomittee besteht aus über zwanzig Patienten-Organisationen  Parteien   Berufsfach- und Branchenverbände sowie Gesundheitsorganisationen und  Gewerkschaften.,,Social Policy | Social security | Health and accident insurance,47.18,2445048,38.16,61.84,no,
8,Country,Switzerland,581,18/05/2014,Medical care (Counter-proposal to the withdrawn people's initiative «Yes to family medicine»),Bundesbeschluss vom 19.09.2013 über die medizinische Grundversorgung (Direkter Gegenentwurf zur Volksinitiative «Ja zur Hausarztmedizin»),Arrêté fédéral concernant les soins médicaux de base (Contre-projet direct à l'initiative populaire «Oui à la médecine de famille»),Decreto federale del 19.09.2013 concernente le cure mediche di base (Controprogetto diretto all'iniziativa popolare «Sì alla medicina di famiglia»),,,,,,140,49,0,43,0,0,Acceptance,5221519,138548,2915993,89196,9731,2480870,336196,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,ursprünglich von der Ärzteschaft,,Social Policy | Health | Health policy,55.85,2817066,88.07,11.93,yes,
9,Country,Switzerland,582,18/05/2014,"""Paedophiles must not work with children""",Volksinitiative vom 20.04.2011 «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,Initiative populaire «Pour que les pédophiles ne travaillent plus avec des enfants»,Iniziativa popolare del 20.04.2011 «Affinché i pedofili non lavoriono più con fanciulli»,,,,,,97,91,,15,23,,Rejection,5221519,138548,2933259,59214,Not known,1819822,1044704,23,0,none,,,,,,Initiative (Formulated Draft),,,Eine Initiative der mittlerweile aufgelösten Organisation Marche Blance  www.kinder-schuetzen.ch,Das Parlament hat keine Abstimmungsempfehlung beschlossen  weil der Nationalrat sich für die Initiative und der Ständerat gegen die Initiative aussprachen.,Legal system | Criminal law | Children and young people,56.18,2864526,63.53,36.47,yes,
10,Country,Switzerland,583,18/05/2014,"""For the protection of fair wages (Minimum salary initiative)""",Volksinitiative vom 23.01.2012 «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,Initiative populaire «Pour la protection de salaires équitables» (Initiative sur les salaires minimums),Iniziativa popolare del 23.02.2012 «Per la protezione di salari equi (Iniziativa sui salari minimi)»,,,,,,56,137,2,12,29,0,Rejection,5221519,138548,2942915,36192,8960,687571,2210192,0,23,none,,,,,,Initiative (Formulated Draft),,,Gewerkschaften  www.mindestlohn-initiative.ch,,Economy | Employment | Employment conditions,56.36,2897763,23.73,76.27,no,
